GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Practica Testing - Ingenieria de Software II,ISO2.Testing,Codigo,0,490,1,217,0,59,1,112,0,4
Practica Testing - Ingenieria de Software II,ISO2.Testing,Main,0,49,0,0,0,15,0,2,0,2
